Solana SOL
Cosmos ATOM
Crypto.com Coin CRO
Bitcoin BTC
Monero XMR
EOS EOS
Huobi Token HT
TRON TRX
IOTA MIOTA
THETA THETA
Neo NEO
Terra LUNA
Tezos XTZ
FTX Token FTT
VeChain VET
Dash DASH
The Graph GRT
Maker MKR
Dai DAI
Avalanche AVAX
Synthetix SNX
Binance USD BUSD
Algorand ALGO
Kusama KSM
Filecoin FIL
Compound COMP
Elrond EGLD
UNUS SED LEO LEO
SushiSwap SUSHI
Decred DCR
PancakeSwap CAKE
Voyager Token VGX
Ravencoin RVN
Fantom FTM
Zcash ZEC
BitTorrent BTT
Ethereum Classic ETC
yearn.finance YFI
Zilliqa ZIL
UMA UMA
Celsius CEL
THORChain RUNE
Nexo NEXO
Ren REN
0x ZRX
OKB OKB
Waves WAVES
Revain REV
ICON ICX
NEAR Protocol NEAR
Hedera Hashgraph HBAR
renBTC RENBTC
IOST IOST
SwissBorg CHSB
DigiByte DGB
Stacks STX
Celo CELO
Ontology ONT
Bancor BNT
Polygon MATIC
Basic Attention Token BAT
Nano NANO
Bitcoin BEP2 BTCB
Loopring LRC
OMG Network OMG
Paxos Standard PAX
HUSD HUSD
TerraUSD UST
Pundi X NPXS
Venus XVS
Horizen ZEN
Holo HOT
1inch 1INCH
Qtum QTUM
Curve DAO Token CRV
Siacoin SC
Bitcoin Gold BTG
Flow (Dapper Labs) FLOW
DODO DODO
Theta Fuel TFUEL
Quant QNT
Reserve Rights RSR
KuCoin Token KCS
